timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,target x,target y,target z
4685.231,1.161454,-1.538595,1.545523,-1.597669,-1.574415,-0.427576,-0.003097,-0.33462,0.109018,0.046352,-3.123964,0.019662,0.041249,-0.921535,-1.357301,-0.611756,-0.051617,0.043407,-0.003052668,-0.334620435,-0.025
4686.231,1.161492,-1.538626,1.545546,-1.597669,-1.57438,-0.427607,-0.003073,-0.33462,0.10902,0.046462,-3.123991,0.019695,0.028936,-0.933836,-1.350096,-0.621511,-0.053671,0.043599,-0.003052668,-0.334620435,0.025
4687.231,1.18269,-1.539846,1.526832,-1.562718,-1.572273,-0.384416,0.006332,-0.330581,0.111972,0.0119,-3.132282,-0.000037,0.168312,-1.181317,-1.48665,-0.31401,0.147084,0.193385,-0.003052668,-0.334620435,0.025
4688.231,1.1694,-1.5842,1.580577,-1.570964,-1.547952,-0.386799,0.012606,-0.323006,0.109936,0.005023,3.128198,-0.012411,-0.092265,-0.841083,-0.960717,-0.614396,0.078409,-0.050579,-0.003052668,-0.334620435,0.025
4689.231,1.169296,-1.584229,1.581093,-1.570894,-1.547871,-0.386937,0.012657,-0.322863,0.109786,0.004977,3.127914,-0.011655,-0.158936,-1.036013,-0.995987,-0.685587,0.103623,-0.005847,-0.003052668,-0.334620435,0.025
4690.231,1.143083,-1.638431,1.607654,-1.543713,-1.514163,-0.440095,0.01816,-0.314955,0.115401,-0.036589,3.097807,-0.034403,-0.101246,-0.959151,-0.963269,-0.411243,0.158214,-0.074891,-0.003052668,-0.334620435,0.025
4691.231,1.16885,-1.671459,1.693768,-1.613357,-1.514455,-0.420617,0.027558,-0.31132,0.104808,-0.047727,3.103759,-0.056279,0.132696,-0.952381,-0.962572,-0.651162,-0.002346,0.219475,-0.003052668,-0.334620435,0.025
4692.231,1.109061,-1.737567,1.805368,-1.67281,-1.510699,-0.479115,0.015219,-0.301662,0.094222,-0.046894,3.10865,-0.08141,-0.131142,-0.865259,-0.839116,-0.658583,0.185247,-0.240615,-0.003052668,-0.334620435,0.025
4693.231,1.11365,-1.770841,1.824068,-1.657243,-1.481694,-0.464407,0.027547,-0.297876,0.096238,-0.031375,3.081615,-0.098316,0.109819,-0.680164,-0.958395,-0.391489,0.17924,0.209683,-0.003052668,-0.334620435,0.025
4694.231,1.113993,-1.773146,1.82523,-1.656177,-1.479716,-0.463444,0.02838,-0.297643,0.096418,-0.030441,3.079815,-0.099631,0.091252,-0.808822,-0.997456,-0.453503,0.143544,0.114743,-0.003052668,-0.334620435,0.025
