timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,target x,target y,target z
2349.001,1.161524,-1.538597,1.545573,-1.597681,-1.574334,-0.427643,-0.003048,-0.33462,0.109004,0.04657,-3.12405,0.019662,0.056108,-1.102826,-1.087759,-0.655951,-0.052674,0.056803,-0.003052668,-0.334620435,-0.025
2350.001,1.161509,-1.538557,1.545539,-1.597665,-1.574375,-0.427624,-0.003065,-0.334618,0.109001,0.046516,-3.124022,0.019606,0.046328,-1.087398,-1.074837,-0.65193,-0.060508,0.08945,-0.003052668,-0.334620435,0.025
2351.001,1.162296,-1.579776,1.594945,-1.607377,-1.57258,-0.448922,0.001371,-0.325949,0.107463,0.081114,-3.123914,0.022466,0.209125,-1.061396,-0.885883,-0.625633,0.135642,-0.120795,-0.003052668,-0.334620435,0.025
2352.001,1.158891,-1.54399,1.54675,-1.580009,-1.581919,-0.432395,-0.003939,-0.329038,0.10881,0.049725,-3.122485,-0.004479,-0.222746,-0.737499,-1.469145,-0.500255,-0.075915,0.18011,-0.003052668,-0.334620435,0.025
2353.001,1.158862,-1.544143,1.546462,-1.579699,-1.581823,-0.431964,-0.003923,-0.329049,0.108915,0.049002,-3.122528,-0.004226,0.04947,-1.374693,-1.279236,-0.187858,0.079585,0.259194,-0.003052668,-0.334620435,0.025
2354.001,1.159589,-1.555952,1.548598,-1.564572,-1.576089,-0.424031,-0.000442,-0.325609,0.110538,0.037759,-3.130002,-0.008409,0.060071,-1.141787,-1.002136,-0.44324,0.090704,0.190293,-0.003052668,-0.334620435,0.025
2355.001,1.070301,-1.628858,1.595636,-1.506391,-1.569594,-0.51605,-0.015327,-0.301202,0.113039,-0.041466,3.13099,0.04987,-0.14501,-1.057686,-0.900136,-0.423124,0.146884,-0.129043,-0.003052668,-0.334620435,0.025
2356.001,1.028111,-1.65557,1.581714,-1.463244,-1.535083,-0.574852,-0.01582,-0.29868,0.121074,-0.065427,3.098853,0.023958,-0.119855,-0.949697,-1.47006,-0.479459,0.068067,-0.031708,-0.003052668,-0.334620435,0.025
2357.001,1.027643,-1.65685,1.582518,-1.463505,-1.535324,-0.575609,-0.015968,-0.298547,0.1212,-0.065909,3.099442,0.023159,-0.221118,-1.576355,-0.700303,-0.618527,-0.127288,-0.296728,-0.003052668,-0.334620435,0.025
2358.001,0.989056,-1.769495,1.696613,-1.476228,-1.557222,-0.636604,-0.019969,-0.274258,0.11765,-0.10185,3.122885,0.02578,-0.106751,-0.826108,-1.007737,-0.615216,-0.095849,-0.135488,-0.003052668,-0.334620435,0.025
2359.001,0.897023,-1.883212,1.73239,-1.391631,-1.542272,-0.756932,-0.02331,-0.249858,0.126562,-0.143512,3.104691,0.016362,-0.102881,-0.663625,-0.886776,-0.492633,0.138283,-0.165231,-0.003052668,-0.334620435,0.025
2360.001,0.832156,-2.008318,1.822459,-1.370396,-1.559196,-0.897243,-0.026424,-0.22552,0.123689,-0.261823,3.118416,0.016457,-0.076363,-0.211862,-0.961245,-0.393865,-0.080341,-0.111454,-0.003052668,-0.334620435,0.025
2361.001,0.832161,-2.008435,1.822799,-1.370386,-1.559229,-0.897412,-0.026374,-0.225451,0.123611,-0.26208,3.118245,0.016742,-0.111917,-0.465403,-1.061103,-0.45857,-0.121654,-0.065606,-0.003052668,-0.334620435,0.025
2362.001,0.82949,-2.044205,1.825518,-1.338406,-1.562534,-0.914887,-0.021799,-0.21813,0.12674,-0.284902,3.119351,0.019538,-0.141174,-0.442382,-1.164211,-0.414146,-0.144535,-0.147062,-0.003052668,-0.334620435,0.025
2363.001,0.881691,-1.998368,1.826262,-1.383584,-1.585393,-0.823928,-0.022462,-0.223818,0.121916,0.225543,-3.125935,-0.046218,0.141789,-0.312048,-1.3177,-0.652985,-0.124583,0.092689,-0.003052668,-0.334620435,0.025
2364.001,0.803985,-2.089276,1.769389,-1.228085,-1.588497,-0.968915,-0.020566,-0.199413,0.141721,0.329094,-3.123262,-0.059729,-0.151645,-0.361406,-1.453717,-0.343588,-0.145686,-0.246626,-0.003052668,-0.334620435,0.025
2365.001,0.804392,-2.06767,1.74394,-1.210078,-1.603108,-0.955451,-0.023647,-0.196749,0.144191,-0.309197,3.124497,0.09144,0.175092,-0.336857,-1.275713,-0.265615,-0.120777,0.13312,-0.003052668,-0.334620435,0.025
