timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,target x,target y,target z
2442.529,1.161536,-1.538593,1.545569,-1.597672,-1.574341,-0.427635,-0.003045,-0.334618,0.109003,0.046575,-3.124047,0.019646,0.007403,-0.908785,-1.339189,-0.626373,-0.065563,0.090936,-0.003052668,-0.334620435,-0.025
2443.529,1.161521,-1.53859,1.545554,-1.59765,-1.574364,-0.427596,-0.003055,-0.334613,0.109005,0.046491,-3.124032,0.019616,-0.001961,-0.927508,-1.340814,-0.619951,-0.049692,0.093164,-0.003052668,-0.334620435,0.025
2444.529,1.145458,-1.492594,1.508353,-1.61631,-1.561524,-0.405508,-0.010642,-0.348766,0.107421,-0.0127,-3.132351,0.042162,-0.150611,-0.888255,-1.432335,-0.688757,0.084403,0.01768,-0.003052668,-0.334620435,0.025
2445.529,1.136046,-1.488141,1.497065,-1.609364,-1.558331,-0.413523,-0.013563,-0.349996,0.108786,-0.014894,-3.135058,0.043959,-0.68968,-0.539863,-1.784407,-0.31676,0.184482,-0.45716,-0.003052668,-0.334620435,0.025
2446.529,1.09048,-1.463159,1.440235,-1.572417,-1.543063,-0.452481,-0.027823,-0.355043,0.114604,0.025333,3.132469,-0.047033,-0.098711,-0.877792,-1.484967,-0.443925,0.12508,-0.092659,-0.003052668,-0.334620435,0.025
2447.529,1.047965,-1.395691,1.377787,-1.570807,-1.522862,-0.467435,-0.044985,-0.368894,0.110871,0.067916,3.111179,-0.053164,-0.166902,-0.887977,-1.482489,-0.411068,0.16575,-0.173156,-0.003052668,-0.334620435,0.025
2448.529,1.056203,-1.339535,1.333467,-1.59748,-1.538368,-0.417848,-0.054229,-0.382561,0.106845,0.132778,3.128049,-0.06247,0.168549,-0.970703,-1.49256,-0.671575,-0.149882,0.22463,-0.003052668,-0.334620435,0.025
2449.529,1.04404,-1.274004,1.257907,-1.60062,-1.550465,-0.386233,-0.0713,-0.39678,0.106055,-0.201794,-3.128508,0.073034,-0.191031,-1.114688,-1.473686,-0.700945,-0.109419,0.080127,-0.003052668,-0.334620435,0.025
2450.529,1.021161,-1.316951,1.272028,-1.564238,-1.549248,-0.437097,-0.073839,-0.384583,0.114281,-0.158447,-3.133788,0.062849,-0.385879,-2.068624,-0.897475,-0.0781,0.179658,-0.554374,-0.003052668,-0.334620435,0.025
2451.529,0.997787,-1.358338,1.282417,-1.525425,-1.548419,-0.488952,-0.07613,-0.372367,0.122438,-0.114307,-3.138709,0.052412,-0.107667,-1.34183,-1.009218,-0.555791,0.055072,-0.143051,-0.003052668,-0.334620435,0.025
2452.529,0.994928,-1.306309,1.230694,-1.543074,-1.54884,-0.444361,-0.086448,-0.386618,0.121058,-0.187977,-3.126927,0.076029,-0.089808,-1.033224,-1.499734,-0.633602,-0.05487,0.141162,-0.003052668,-0.334620435,0.025
2453.529,0.95459,-1.283455,1.146018,-1.491185,-1.508401,-0.599914,-0.09679,-0.394836,0.134013,0.006237,3.124283,-0.122873,-0.147309,-1.33488,-1.502805,-0.463705,0.107295,-0.184759,-0.003052668,-0.334620435,0.025
2454.529,0.933722,-1.22937,1.074871,-1.471392,-1.494986,-0.587714,-0.108549,-0.404038,0.133559,0.05755,3.110875,-0.131236,-0.155322,-1.181767,-1.695313,-0.171677,0.244805,0.224116,-0.003052668,-0.334620435,0.025
2455.529,0.924596,-1.203105,1.039611,-1.460847,-1.488751,-0.581549,-0.113956,-0.408301,0.133234,0.081189,3.10417,-0.134771,-0.158254,-1.151597,-1.438895,-0.523467,0.113435,0.075453,-0.003052668,-0.334620435,0.025
2456.529,0.89458,-1.18508,0.994646,-1.447057,-1.491247,-0.65389,-0.131118,-0.409531,0.138545,0.015152,3.118895,-0.151759,-0.128955,-1.144121,-1.472387,-0.589167,-0.051988,-0.118977,-0.003052668,-0.334620435,0.025
2457.529,0.900399,-1.109389,0.884557,-1.412331,-1.50604,-0.605721,-0.14144,-0.419689,0.137927,0.08294,3.127221,-0.137716,0.134813,-1.213275,-1.480541,-0.654467,-0.12822,0.196894,-0.003052668,-0.334620435,0.025
2458.529,0.897912,-1.121923,0.910415,-1.422923,-1.506344,-0.615841,-0.140757,-0.41701,0.136201,0.070951,3.126894,-0.134005,-0.129442,-1.866473,-0.937245,-0.725038,-0.111368,-0.130006,-0.003052668,-0.334620435,0.025
2459.529,0.875505,-1.044757,0.734077,-1.32287,-1.478705,-0.577113,-0.151047,-0.427108,0.148369,0.165289,3.098328,-0.157477,-0.087457,-1.226485,-1.489596,-0.431674,0.145759,0.086629,-0.003052668,-0.334620435,0.025
2460.529,0.87681,-0.998624,0.661372,-1.299275,-1.479386,-0.555405,-0.156151,-0.433834,0.148213,0.197302,3.097208,-0.160312,0.179662,-0.946935,-1.774367,-0.268624,-0.074274,0.392893,-0.003052668,-0.334620435,0.025
