timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5
2569.678000,1.161536,-1.538578,1.545539,-1.597657,-1.574398,-0.427615,-0.003061,-0.334615,0.109007,0.046544,-3.123996,0.019610,0.025781,-1.124854,-1.080055,-0.646523,-0.046492,0.079877
2570.678000,1.161517,-1.538566,1.545569,-1.597669,-1.574369,-0.427584,-0.003058,-0.334612,0.108995,0.046467,-3.124037,0.019585,-0.000543,-1.116885,-1.099537,-0.619889,-0.038619,0.085528
2571.678000,1.174470,-1.493738,1.488664,-1.585873,-1.593062,-0.384085,-0.007729,-0.342798,0.111154,-0.001670,-3.107641,0.009917,0.155335,-0.864787,-1.544380,-0.451905,-0.136615,0.162385
2572.678000,1.165009,-1.506150,1.489113,-1.565299,-1.582195,-0.385664,-0.006017,-0.338839,0.113075,-0.013886,-3.120805,0.003615,-0.131953,-1.216353,-0.865091,-0.392322,0.138260,-0.138158
2573.678000,1.144848,-1.501596,1.486871,-1.579561,-1.576393,-0.384266,-0.013140,-0.343442,0.113530,-0.047439,-3.121088,0.024037,-0.539190,-0.650850,-1.561618,-0.962694,0.176471,0.259266
2574.678000,1.117720,-1.493717,1.481945,-1.599879,-1.567975,-0.381014,-0.023188,-0.350163,0.114336,-0.094525,-3.120281,0.053796,-0.127112,-0.832384,-1.478347,-0.643817,0.109300,0.041818
2575.678000,1.118657,-1.482427,1.477216,-1.593626,-1.570712,-0.371448,-0.023173,-0.349063,0.111545,-0.108186,-3.122955,0.033995,0.114166,-0.848634,-1.141362,-0.424125,-0.111718,0.085609
2576.678000,1.117241,-1.423638,1.419519,-1.607579,-1.585943,-0.313298,-0.035132,-0.363313,0.110941,-0.200435,-3.100354,0.044624,-0.085617,-0.865830,-1.445036,-0.637906,-0.140050,0.123774
2577.678000,1.097044,-1.379571,1.422467,-1.680602,-1.592077,-0.333557,-0.051902,-0.377552,0.101755,-0.199367,-3.083865,0.076979,-0.143529,-0.939069,-0.931690,-0.659594,-0.158713,-0.245244
2578.678000,1.079244,-1.402091,1.439688,-1.673986,-1.580924,-0.371974,-0.053232,-0.372956,0.103639,-0.167483,-3.094843,0.080140,-0.133522,-1.368108,-1.103822,-0.423854,0.139634,-0.152132
2579.678000,1.042417,-1.359045,1.429885,-1.707490,-1.569705,-0.418614,-0.069152,-0.380974,0.094621,-0.151846,-3.103660,0.086129,-0.112199,-1.048740,-1.357698,-0.481033,0.026065,-0.013777
2580.678000,1.042325,-1.358918,1.429748,-1.707418,-1.569723,-0.418668,-0.069199,-0.380976,0.094611,-0.151907,-3.103668,0.086029,-0.173636,-0.968445,-1.451172,-0.507932,0.075189,-0.120123
2581.678000,1.006254,-1.388771,1.465666,-1.717059,-1.575224,-0.449233,-0.080993,-0.372107,0.095097,-0.160183,-3.094728,0.084654,-0.143922,-1.314945,-0.967686,-0.664695,-0.065516,-0.146556
2582.678000,1.012497,-1.335886,1.411241,-1.730868,-1.590360,-0.392740,-0.091051,-0.384802,0.094491,-0.237546,-3.070968,0.096944,0.078370,-0.980644,-1.494184,-0.705364,-0.173119,0.130627
2583.678000,1.005754,-1.390190,1.473244,-1.735136,-1.584015,-0.420183,-0.084741,-0.373209,0.095128,-0.205522,-3.079156,0.095145,-0.162341,-1.366099,-0.902478,-0.699720,0.156511,-0.215837
2584.678000,0.982189,-1.441604,1.487821,-1.692759,-1.551488,-0.408451,-0.078429,-0.364952,0.104206,-0.260660,-3.105009,0.111528,-0.171002,-1.199659,-1.064742,-0.450071,0.079026,0.004508
2585.678000,0.982087,-1.441683,1.487914,-1.692694,-1.551400,-0.408400,-0.078423,-0.364924,0.104197,-0.260904,-3.105103,0.111488,-0.130785,-1.269354,-0.948760,-0.492444,0.126357,0.122862
2586.678000,0.961408,-1.474743,1.494122,-1.659818,-1.530131,-0.459731,-0.075732,-0.358763,0.110289,-0.213721,-3.127033,0.119127,-0.154158,-1.247918,-1.269117,-0.438041,0.124977,-0.136473
2587.678000,0.953439,-1.493810,1.525652,-1.688065,-1.514799,-0.463392,-0.074782,-0.360382,0.109835,-0.218914,-3.129829,0.152682,-0.139153,-1.205266,-0.934781,-0.642925,0.156047,-0.146388
2588.678000,0.961919,-1.489691,1.528737,-1.692945,-1.527180,-0.449990,-0.074780,-0.359284,0.107838,-0.226912,-3.121403,0.139501,0.116366,-0.844228,-0.938231,-0.552015,-0.099800,0.124082
2589.678000,0.953037,-1.410228,1.365952,-1.580551,-1.506564,-0.432225,-0.079588,-0.370994,0.120634,0.268392,3.103647,-0.115841,-0.108235,-1.009623,-1.491804,-0.623393,0.158073,0.160454
2590.678000,0.956132,-1.354269,1.316838,-1.625903,-1.476693,-0.409021,-0.085083,-0.395901,0.121265,0.294147,3.088855,-0.189979,0.161772,-0.958828,-1.532881,-0.713858,0.180442,0.110933
2591.678000,0.929394,-1.376146,1.329463,-1.611974,-1.471667,-0.397728,-0.090568,-0.389011,0.123919,0.352274,3.077306,-0.187410,-0.232546,-1.304685,-1.070802,-0.468730,0.072428,-0.024565
2592.678000,0.929304,-1.376306,1.329614,-1.611881,-1.471622,-0.397669,-0.090556,-0.388960,0.123920,0.352500,3.077207,-0.187325,-0.094796,-1.387407,-0.982916,-0.470446,0.159068,0.079735
2593.678000,0.920134,-1.334543,1.270426,-1.598100,-1.468755,-0.409654,-0.099961,-0.397179,0.125968,0.347919,3.077640,-0.195284,-0.152876,-0.999716,-1.492245,-0.544565,0.174094,-0.216890
2594.678000,0.941035,-1.216011,1.073871,-1.522014,-1.460197,-0.321063,-0.105054,-0.422103,0.134700,0.450121,3.049699,-0.200055,0.132765,-1.426793,-1.555096,-0.615691,0.187177,0.147563
2595.678000,0.968605,-1.168030,1.014558,-1.545930,-1.499137,-0.283057,-0.113857,-0.435476,0.135890,0.473789,3.090802,-0.224552,0.095415,-1.212427,-1.518580,-0.734921,-0.006294,-0.007269
2596.678000,0.971462,-1.142414,0.972659,-1.526875,-1.500646,-0.269352,-0.115450,-0.439216,0.136471,0.491029,3.087344,-0.219575,0.155849,-0.510185,-2.236287,-0.118283,-0.137039,0.480017
2597.678000,0.981614,-1.030861,0.783795,-1.434649,-1.505866,-0.213439,-0.121492,-0.453409,0.138257,0.563429,3.070351,-0.194492,0.115734,-1.332549,-1.437815,-0.519662,-0.102691,0.098263
2598.678000,0.963671,-1.039229,0.801104,-1.447920,-1.504082,-0.237023,-0.129143,-0.451330,0.137960,0.554635,3.074253,-0.202338,-0.107887,-1.882269,-0.944238,-0.684608,0.129047,-0.120842
2599.678000,0.910024,-1.176918,1.048351,-1.572136,-1.501533,-0.327792,-0.139196,-0.426910,0.131574,-0.495533,-3.090539,0.225036,-0.169627,-1.699098,-0.889726,-0.697454,0.150975,-0.149930
2600.678000,0.930475,-1.144185,1.015363,-1.591822,-1.507413,-0.259042,-0.139175,-0.439003,0.130809,-0.568054,-3.068753,0.248823,0.150299,-1.268279,-1.574161,-0.784568,-0.119527,0.207869
2601.678000,0.930496,-1.144097,1.015278,-1.591818,-1.507444,-0.258997,-0.139184,-0.439015,0.130799,-0.568091,-3.068728,0.248794,0.115451,-1.238680,-1.434639,-0.732278,-0.102186,0.037490
2602.678000,0.936932,-1.049712,0.849285,-1.517281,-1.513274,-0.193425,-0.147880,-0.452869,0.135013,-0.661157,-3.052639,0.241958,0.090195,-1.270580,-1.515015,-0.610571,-0.046213,0.114921
2603.678000,0.962612,-0.964971,0.721846,-1.487777,-1.527241,-0.109444,-0.150267,-0.470032,0.134427,-0.749580,-3.022139,0.253711,0.123323,-1.376820,-1.506668,-0.492995,-0.114111,0.178519
2604.678000,0.946085,-0.905961,0.601060,-1.447995,-1.518651,-0.077311,-0.164185,-0.480204,0.141599,-0.821657,-3.002118,0.290944,-0.171412,-1.701378,-1.560649,-0.594117,0.194257,0.194341
2605.678000,0.937632,-0.828666,0.450384,-1.370088,-1.524103,-0.055554,-0.174381,-0.484286,0.143570,-0.868855,-2.987581,0.281703,-0.081514,-1.479509,-1.542823,-0.500268,-0.062398,0.095256
2606.678000,0.935742,-0.840342,0.475239,-1.385058,-1.524843,-0.053645,-0.175059,-0.483350,0.143077,-0.873899,-2.984503,0.283787,-0.307502,-2.717595,-0.049183,-1.224327,-0.213394,0.303386
2607.678000,0.928819,-0.887894,0.577608,-1.447180,-1.527696,-0.045653,-0.177075,-0.479289,0.140463,-0.893588,-2.972345,0.292412,-0.092322,-2.030192,-0.966870,-0.719931,-0.063977,0.177118
2608.678000,0.906821,-0.964899,0.723542,-1.523545,-1.520340,-0.059835,-0.180152,-0.469439,0.138609,-0.902381,-2.968840,0.306268,-0.173863,-2.126043,-1.041994,-0.710070,0.128220,-0.086310
2609.678000,0.908135,-1.033628,0.850794,-1.583487,-1.528295,-0.049472,-0.174363,-0.459597,0.135499,-0.913864,-2.958169,0.303444,0.065534,-1.935144,-0.980266,-0.592943,-0.144831,0.182159
2610.678000,0.917967,-0.963184,0.706147,-1.505533,-1.534636,0.001925,-0.177456,-0.468204,0.141140,-0.978043,-2.939842,0.296494,0.164127,-1.325202,-1.527237,-0.624589,-0.135232,0.149860
2611.678000,0.918042,-0.960290,0.700333,-1.502854,-1.534360,0.003462,-0.177655,-0.468649,0.141376,-0.980288,-2.939409,0.297057,0.100064,-0.928957,-2.023719,0.007823,0.124131,0.339514
2612.678000,0.919016,-0.885402,0.543073,-1.416489,-1.526216,0.039201,-0.180529,-0.476808,0.146763,-1.035851,-2.933903,0.297043,0.117544,-1.461585,-1.377094,-0.522638,0.107055,0.076235
2613.979000,0.919445,-0.606349,-0.004415,-1.145165,-1.504232,0.000629,-0.187819,-0.495562,0.147936,0.984446,2.964187,-0.305069,-0.098381,-3.605296,3.920675,-3.041250,0.181350,-0.041193
2614.979000,0.919445,-0.606349,-0.004415,-1.145165,-1.504232,0.000629,-0.187819,-0.495562,0.147936,0.984446,2.964187,-0.305069,-0.098381,-3.605296,3.920675,-3.041250,0.181350,-0.041193
2615.979000,0.919445,-0.606349,-0.004415,-1.145165,-1.504232,0.000629,-0.187819,-0.495562,0.147936,0.984446,2.964187,-0.305069,-0.098381,-3.605296,3.920675,-3.041250,0.181350,-0.041193
2616.979000,0.919445,-0.606349,-0.004415,-1.145165,-1.504232,0.000629,-0.187819,-0.495562,0.147936,0.984446,2.964187,-0.305069,-0.098381,-3.605296,3.920675,-3.041250,0.181350,-0.041193
2617.979000,0.919445,-0.606349,-0.004415,-1.145165,-1.504232,0.000629,-0.187819,-0.495562,0.147936,0.984446,2.964187,-0.305069,-0.098381,-3.605296,3.920675,-3.041250,0.181350,-0.041193
2618.979000,0.919445,-0.606349,-0.004415,-1.145165,-1.504232,0.000629,-0.187819,-0.495562,0.147936,0.984446,2.964187,-0.305069,-0.098381,-3.605296,3.920675,-3.041250,0.181350,-0.041193
2619.979000,0.919445,-0.606349,-0.004415,-1.145165,-1.504232,0.000629,-0.187819,-0.495562,0.147936,0.984446,2.964187,-0.305069,-0.098381,-3.605296,3.920675,-3.041250,0.181350,-0.041193
2620.979000,0.919445,-0.606349,-0.004415,-1.145165,-1.504232,0.000629,-0.187819,-0.495562,0.147936,0.984446,2.964187,-0.305069,-0.098381,-3.605296,3.920675,-3.041250,0.181350,-0.041193
2621.979000,0.919445,-0.606349,-0.004415,-1.145165,-1.504232,0.000629,-0.187819,-0.495562,0.147936,0.984446,2.964187,-0.305069,-0.098381,-3.605296,3.920675,-3.041250,0.181350,-0.041193
2621.979000,0.919445,-0.606349,-0.004415,-1.145165,-1.504232,0.000629,-0.187819,-0.495562,0.147936,0.984446,2.964187,-0.305069,-0.098381,-3.605296,3.920675,-3.041250,0.181350,-0.041193
2621.979000,0.919445,-0.606349,-0.004415,-1.145165,-1.504232,0.000629,-0.187819,-0.495562,0.147936,0.984446,2.964187,-0.305069,-0.098381,-3.605296,3.920675,-3.041250,0.181350,-0.041193
